Task,Category,Start,End,Rest,Total,Total(mins)
2. it,Dokumentazio,"May 26, 2021 14:50","May 26, 2021 16:30",,1h 40m,100
2.it,Dokumentazio,"May 26, 2021 10:40","May 26, 2021 12:40",,2h 0m,120
2. it,Dokumentazio,"May 25, 2021 22:45","May 25, 2021 23:50",,1h 5m,65
2. it,Dokumentazio,"May 25, 2021 19:15","May 25, 2021 20:25",,1h 10m,70
1. it,Dokumentazio,"May 25, 2021 11:10","May 25, 2021 12:40",,1h 30m,90
1. it,Dokumentazio,"May 24, 2021 23:40","May 25, 2021 0:45",,1h 5m,65
s.g - 1. it,Dokumentazio,"May 24, 2021 14:45","May 24, 2021 17:10",,2h 25m,145
s.g - 1. it,Dokumentazio,"May 24, 2021 12:50","May 24, 2021 14:40",,1h 50m,110
memoria bigarren entrega (plan + e.b + diseinua),Dokumentazio,"May 23, 2021 18:15","May 23, 2021 21:35",35,3h 20m,165
planifikazioa + e.b,Dokumentazio,"May 23, 2021 10:50","May 23, 2021 12:50",,2h 0m,120
arkitektura,Diseinua,"May 22, 2021 17:50","May 22, 2021 21:05",20,3h 15m,175
planifikazioa + e.b,Dokumentazio,"May 22, 2021 10:45","May 22, 2021 11:40",,55m,55
planifikazioa + e.b,,"May 21, 2021 14:15","May 21, 2021 16:10",,1h 55m,115
planifikazioa + e.b,Dokumentazio,"May 21, 2021 10:40","May 21, 2021 12:45",,2h 5m,125
planifikazioa + e.b,Dokumentazio,"May 19, 2021 16:45","May 19, 2021 17:20",,35m,35
Plangintza + E.bilketa,Dokumentazio,"May 19, 2021 11:55","May 19, 2021 13:15",,1h 20m,80
eskakizunen bilketa,Eskakizunen bilketa,"May 18, 2021 19:45","May 18, 2021 20:45",,1h 0m,60
eskakizunen bilketa,Eskakizunen bilketa,"May 17, 2021 10:20","May 17, 2021 12:15",,1h 55m,115
eskakizunen bilketa,Eskakizunen bilketa,"May 16, 2021 20:15","May 16, 2021 22:10",,1h 55m,115
eskakizunen bilketa,Eskakizunen bilketa,"May 16, 2021 16:00","May 16, 2021 17:30",,1h 30m,90
eskakizunen bilketa,Eskakizunen bilketa,"May 16, 2021 12:45","May 16, 2021 14:55",,2h 10m,130
